decade,pieces
1950s,4.0
1950s,4.0
1950s,4.0
1950s,4.0
1950s,4.0
1950s,4.0
1950s,4.0
1950s,4.0
1950s,4.0
1950s,4.0
1950s,5.0
1950s,5.0
1950s,5.0
1950s,5.0
1950s,5.0
1950s,5.0
1950s,5.0
1950s,5.0
1950s,5.0
1950s,5.0
1950s,5.0
1950s,5.0
1950s,5.0
1950s,5.0
1950s,5.0
1950s,6.0
1950s,6.0
1950s,6.0
1950s,6.0
1950s,7.0
1950s,7.0
1950s,7.0
1950s,7.0
1950s,7.0
1950s,8.0
1950s,8.0
1950s,8.0
1950s,8.0
1950s,8.0
1950s,9.0
1950s,10.0
1950s,10.0
1950s,10.0
1950s,10.0
1950s,10.0
1950s,12.0
1950s,12.0
1950s,14.0
1950s,14.0
1950s,14.0
1950s,14.0
1950s,16.0
1950s,19.0
1950s,19.0
1950s,20.0
1950s,20.0
1950s,20.0
1950s,20.0
1950s,21.0
1950s,21.0
1950s,21.0
1950s,21.0
1950s,21.0
1950s,22.0
1950s,22.0
1950s,22.0
1950s,23.0
1950s,24.0
1950s,24.0
1950s,24.0
1950s,24.0
1950s,25.0
1950s,30.0
1950s,30.0
1950s,30.0
1950s,30.0
1950s,36.0
1950s,45.0
1950s,45.0
1950s,46.0
1950s,46.0
1950s,47.0
1950s,48.0
1950s,50.0
1950s,51.0
1950s,51.0
1950s,52.0
1950s,54.0
1950s,54.0
1950s,59.0
1950s,60.0
1950s,69.0
1950s,69.0
1950s,78.0
1950s,80.0
1950s,90.0
1950s,96.0
1950s,96.0
1950s,100.0
1950s,104.0
1950s,109.0
1950s,109.0
1950s,120.0
1950s,120.0
1950s,149.0
1950s,150.0
1950s,156.0
1950s,160.0
1950s,160.0
1950s,200.0
1950s,240.0
1950s,244.0
1960s,4.0
1960s,4.0
1960s,4.0
1960s,4.0
1960s,4.0
1960s,5.0
1960s,5.0
1960s,5.0
1960s,5.0
1960s,5.0
1960s,5.0
1960s,5.0
1960s,5.0
1960s,5.0
1960s,6.0
1960s,6.0
1960s,6.0
1960s,6.0
1960s,6.0
1960s,6.0
1960s,6.0
1960s,6.0
1960s,6.0
1960s,7.0
1960s,7.0
1960s,7.0
1960s,7.0
1960s,7.0
1960s,7.0
1960s,8.0
1960s,8.0
1960s,8.0
1960s,8.0
1960s,8.0
1960s,8.0
1960s,8.0
1960s,8.0
1960s,8.0
1960s,9.0
1960s,9.0
1960s,10.0
1960s,10.0
1960s,10.0
1960s,10.0
1960s,10.0
1960s,10.0
1960s,10.0
1960s,10.0
1960s,10.0
1960s,10.0
1960s,11.0
1960s,12.0
1960s,12.0
1960s,12.0
1960s,12.0
1960s,12.0
1960s,12.0
1960s,12.0
1960s,12.0
1960s,12.0
1960s,13.0
1960s,13.0
1960s,13.0
1960s,14.0
1960s,14.0
1960s,14.0
1960s,14.0
1960s,15.0
1960s,16.0
1960s,16.0
1960s,16.0
1960s,16.0
1960s,16.0
1960s,16.0
1960s,16.0
1960s,17.0
1960s,17.0
1960s,17.0
