year,sets
1950,7
1953,3
1954,14
1955,24
1956,9
1957,13
1958,39
1959,3
1960,2
1961,15
1962,37
1963,13
1964,8
1965,9
1966,82
1967,18
1968,24
1969,61
1970,26
1971,42
1972,32
1973,64
1974,37
1975,31
1976,65
1977,66
1978,67
1979,73
1980,77
1981,65
1982,66
1983,45
1984,63
1985,121
1986,103
1987,171
1988,63
1989,103
1990,74
1991,96
1992,97
1993,105
1994,115
1995,117
1996,128
1997,173
1998,306
1999,288
2000,300
2001,295
2002,390
2003,367
2004,322
2005,285
2006,255
2007,281
2008,311
2009,350
2010,393
2011,431
2012,538
2013,520
2014,601
2015,574
2016,323
