year,set_id,pieces,descr
1950,700.1.1-1,10.0,Individual 2 x 4 Bricks
1950,700.1.2-1,9.0,Individual 2 x 2 Bricks
1950,700.B.4-1,7.0,Individual 1 x 2 x 4 Door (without glass)
1950,700.A-1,24.0,Automatic Binding Bricks Small Brick Set (Lego Mursten)
1950,700.B.1-1,7.0,Individual 1 x 4 x 2 Window (without glass)
1950,700.B.2-1,7.0,Individual 1 x 2 x 3 Window (without glass)
1950,700.B.3-1,7.0,Individual 1 x 2 x 2 Window (without glass)
1953,700.F-1,48.0,Automatic Binding Bricks - Small Brick Set (Lego Mursten)
1953,700.B-1,12.0,Early LEGO Windows/Doors (without Glass)
1953,700.3.4-1,5.0,Individual 2 x 3 Bricks
1954,700.16-1,5.0,Individual 2 x 8 Bricks
1954,700.20-1,5.0,Individual 2 x 10 Bricks
1954,700.C.4-1,4.0,Individual 1 x 4 x 3 Window (with glass)
1954,700.24-1,5.0,Individual 2 x 12 Bricks
1954,700.28-1,5.0,Individual 2 x 14 Bricks
1954,700.C.6-1,4.0,Individual 1 x 2 x 4 Door (with glass)
1954,700.C.3-1,4.0,Individual 1 x 6 x 3 Shutter Window (with glass)
1954,700.5-1,54.0,Gift Package (Lego Mursten)
1954,700.6-1,46.0,Gift Package (Lego Mursten)
1954,700.C.1-1,4.0,Individual 1 x 6 x 4 Panorama Window (with glass)
1954,700.C-1,24.0,Tall Classic Windows/Door (with Glass)
1954,700.C.2-1,4.0,Individual 1 x 6 x 3 3-Pane Window (with glass)
1954,700.H-1,5.0,Individual 4 x 4 Corner Bricks
1954,700.C.5-1,4.0,Individual 1 x 3 x 3 Window (with glass)
1955,1218-2,60.0,2 x 3 Bricks
1955,1210-2,30.0,Small Store Set
1955,1211-2,19.0,Small House Set
1955,1212-2,21.0,Small House - Left Set
1955,1213-2,23.0,Small House - Right Set
1955,1214-2,24.0,Windows and Doors
1955,1215-2,20.0,2 x 8 & 2 x 10 Bricks
1955,1216-2,20.0,4 x 4 Corner Bricks
1955,1217-2,52.0,2 x 4 Bricks
1955,1219-2,80.0,2 x 2 Bricks
1955,1220-2,104.0,1 x 2 Bricks
1955,1221-2,160.0,1 x 1 Bricks
1955,1222-2,200.0,1 x 1 Round Bricks
1955,1223-2,14.0,2 x 2 & 2 x 4 Curved Bricks
1955,1224.1-1,8.0,8 Danish Named Beams
1955,1224-2,8.0,8 Named Beams
1955,1224A-1,36.0,1 x 6 and 1 x 8 Bricks
1955,1225-2,12.0,Mixed Plates Parts Pack
1955,1230-2,7.0,Windows and Door without Glass
1955,1236-2,59.0,Garage
1955,1240-2,8.0,8 Road Signs
1955,1241-2,8.0,8 Road Signs
1955,1248-2,6.0,Painted Trees and Bushes
1955,1300-1,47.0,Lego Mosaik Set (Small)
1956,1226-2,4.0,6 x 8 & 2 x 8 Plates
1956,1231-2,10.0,"Windows and Door with Glass, Red"
1956,1271-2,6.0,Traffic Police Set
1956,224-1,14.0,2 x 2 & 2 x 4 Curved Bricks
1956,236-1,69.0,Garage with Automatic Door (White base and door frame)
1956,1310-1,96.0,ESSO Filling Station
1956,1231-3,10.0,"Windows and Door with Glass, White"
1956,1227-2,5.0,4 x 8 & 2 x 8 Plates
1956,1228-2,5.0,4 x 8 Curved & 2 x 8 Plates
1957,1260-2,24.0,1:87 Twenty Four Models
1957,236-2,69.0,Garage and Van
1957,1306-1,45.0,VW Garage
1957,1307-1,51.0,VW Auto Showroom
1957,1308-1,109.0,Fire Station
1957,700.0-1,244.0,Gift Package
1957,283-2,20.0,"Sloping Ridge and Valley Bricks, Blue"
1957,283-1,20.0,"Sloping Ridge and Valley Bricks, Red"
1957,1309-1,150.0,Church
1957,1223-3,100.0,2 x 2 Curved Bricks
1957,1242-2,5.0,International Flags
1957,1242D-1,5.0,5 Danish Flags
