year,mean_pieces
1950,10.14
1953,21.67
1954,12.36
1955,42.75
1956,24.33
1957,68.31
1958,47.67
1959,21.33
1960,263.00
1961,80.93
1962,88.35
1963,46.15
1964,113.50
1965,118.89
1966,44.98
1967,115.00
1968,132.46
1969,72.93
1970,94.38
1971,71.62
1972,121.81
1973,109.80
1974,122.97
1975,155.06
1976,159.86
1977,126.86
1978,159.42
1979,117.66
1980,144.48
1981,112.18
1982,79.30
1983,143.64
1984,114.05
1985,140.83
1986,132.61
1987,86.27
1988,155.46
1989,113.70
1990,231.51
1991,182.69
1992,141.26
1993,156.78
1994,141.85
1995,195.56
1996,226.39
1997,144.55
1998,149.76
1999,109.91
2000,113.59
2001,119.77
2002,132.25
2003,180.44
2004,158.90
2005,229.12
2006,273.01
2007,259.18
2008,259.19
2009,225.38
2010,237.20
2011,185.99
2012,170.63
2013,206.51
2014,201.21
2015,227.06
2016,251.37
