year,pieces,descr,set
2010,252.0,Compact Excavator,"Set: "
1988,90.0,Amusement Park,"Set: "
2003,610.0,Creator Bulk,"Set: "
2011,127.0,Fountain of Youth,"Set: "
1966,273.0,"1 x 1, 1 x 2, 2 x 2, 2 x 3, 2 x 4 Plates (System)","Set: "
1999,46.0,Blaze Responder<br>-Hydro Racer / Swamp Boat,Sets:<br>-
2008,73.0,Mini Trains<br>-Toa Tahu,Sets:<br>-
1971,35.0,Mobile Crane,"Set: "
2012,202.0,Heartlake Dog Show,"Set: "
2013,400.0,Back to the Future Delorean,"Set: "
1996,258.0,ANWB Roadside Assistance Crew,"Set: "
1999,119.0,Fuel Truck,"Set: "
1989,418.0,Basic Building Set in Bucket,"Set: "
2013,39.0,Ariel's Undersea Castle<br>-Birthday Party<br>-Hot Dog Cart<br>-Puppy&#039;s Playhouse<br>-Fire Motorcycle,Sets:<br>-
2005,63.0,Mrs. Bunny<br>-Buzz Saw,Sets:<br>-
1977,81.0,Red Indians,"Set: "
2004,443.0,Citadel of Orlan,"Set: "
1983,314.0,Super Model,"Set: "
2008,694.0,Axalara T9,"Set: "
1965,35.0,Basic Building Set in Cardboard,"Set: "
1998,35.0,Scorpion Tracker,"Set: "
1997,590.0,Pneumatic Front-End Loader,"Set: "
1995,698.0,Large Freestyle Playcase,"Set: "
1958,90.0,2 x 3 Bricks,"Set: "
2008,83.0,Jungle Cruiser<br>-Playful Puppy<br>-Air Mail,Sets:<br>-
2002,262.0,Technojaw T55,"Set: "
2015,1499.0,XXXL Box,"Set: "
1978,277.0,Fire Trucks,"Set: "
1984,93.0,Basic Set<br>-Blacksmith Shop,Sets:<br>-
2010,33.0,Army Jeep,"Set: "
2002,79.0,Car Project Set,"Set: "
2005,72.0,Letters and Keyring<br>-Cool Carry-All Set<br>-Reindeer (Legoland California),Sets:<br>-
2016,80.0,Emily Jones & the Baby Wind Dragon<br>-Airport Starter Set,Sets:<br>-
2015,1252.0,Final Flight of Destiny's Bounty,"Set: "
2009,1060.0,Front Loader,"Set: "
1994,39.0,Castle Accessories<br>-Space Explorers,Sets:<br>-
2007,1575.0,FIRST LEGO League Challenge 2007 - Power Puzzle,"Set: "
2012,155.0,Brickmaster: Ninjago 2 - Fight The Power Of The Snakes,"Set: "
1993,118.0,TECHNIC Starter Set,"Set: "
1980,270.0,Exxon Gas Station<br>-Beta I Command Base,Sets:<br>-
2014,194.0,Camper Van,"Set: "
2011,335.0,Battle for Geonosis,"Set: "
2009,25.0,Vintage Minifigure Collection Vol. 4,"Set: "
2002,914.0,Black Seas Barracuda,"Set: "
2003,82.0,Ultimate Defense,"Set: "
2006,70.0,Legoland Pirate with Parrot (Legoland California),"Set: "
